id,page,system,bar_slot,role,voice_id,pitch,midi,recommended_slide_position,slide_positions,status,source_head_id
p03-s07-h3472,3,7,5,play,1,H3,59,4,4;7,omr_high_confidence,3472
p03-s07-h3476,3,7,5,play,1,H3,59,4,4;7,omr_high_confidence,3476
p03-s07-h3480,3,7,6,play,1,H3,59,4,4;7,omr_high_confidence,3480
p03-s07-h3484,3,7,6,play,1,H3,59,4,4;7,omr_high_confidence,3484
p03-s07-h3391,3,7,7,play,1,D4,62,1,1;4;7,omr_high_confidence,3391
p03-s07-h3351,3,7,7,play,1,E4,64,2,2;5;7,omr_high_confidence,3351
p03-s07-h3437,3,7,7,play,1,C4,60,3,3;6,omr_high_confidence,3437
p03-s08-h3655,3,8,1,play,1,D4,62,1,1;4;7,omr_high_confidence,3655
p03-s08-h3629,3,8,1,play,1,E4,64,2,2;5;7,omr_high_confidence,3629
p03-s08-h3697,3,8,1,play,1,C4,60,3,3;6,omr_high_confidence,3697
p03-s08-h3659,3,8,2,play,1,D4,62,1,1;4;7,omr_high_confidence,3659
p03-s08-h3635,3,8,2,play,1,Eb4,63,3,3;6,omr_high_confidence,3635
p03-s08-h3663,3,8,3,play,1,D4,62,1,1;4;7,omr_high_confidence,3663
p03-s08-h3609,3,8,3,play,1,G4,67,2,2;4;6,omr_high_confidence,3609
p03-s08-h3613,3,8,3,play,1,G4,67,2,2;4;6,omr_high_confidence,3613
p03-s08-h3625,3,8,3,play,1,F#4,66,3,3;5;7,omr_high_confidence,3625
p03-s08-h3667,3,8,4,play,1,D4,62,1,1;4;7,omr_high_confidence,3667
p03-s08-h3717,3,8,4,play,1,Bb3,58,1,1;5,omr_high_confidence,3717
p03-s08-h3647,3,8,4,play,1,Eb4,63,3,3;6,omr_high_confidence,3647
p03-s08-h3671,3,8,5,play,1,D4,62,1,1;4;7,omr_high_confidence,3671
p03-s08-h3675,3,8,5,play,1,D4,62,1,1;4;7,omr_high_confidence,3675
p03-s08-h3679,3,8,5,play,1,D4,62,1,1;4;7,omr_high_confidence,3679
p03-s08-h3727,3,8,6,play,1,H3,59,4,4;7,omr_high_confidence,3727
p03-s08-h3731,3,8,6,play,1,H3,59,4,4;7,omr_high_confidence,3731
p03-s08-h3735,3,8,7,play,1,H3,59,4,4;7,omr_high_confidence,3735
p03-s08-h3739,3,8,7,play,1,H3,59,4,4;7,omr_high_confidence,3739
p03-s08-h3743,3,8,8,play,1,H3,59,4,4;7,omr_high_confidence,3743
p03-s08-h3651,3,8,8,play,1,E4,64,2,2;5;7,omr_high_confidence,3651
p03-s08-h3713,3,8,8,play,1,C4,60,3,3;6,omr_high_confidence,3713
p03-s09-h3855,3,9,1,play,1,D4,62,1,1;4;7,omr_high_confidence,3855
p03-s09-h3841,3,9,1,play,1,E4,64,2,2;5;7,omr_high_confidence,3841
p03-s09-h3911,3,9,1,play,1,C4,60,3,3;6,omr_high_confidence,3911
p03-s09-h3865,3,9,2,play,1,D4,62,1,1;4;7,omr_high_confidence,3865
p03-s09-h3986,3,9,2,play,1,A3,57,2,2;6,omr_high_confidence,3986
p03-s09-h3956,3,9,3,play,1,H3,59,4,4;7,omr_high_confidence,3956
p03-s09-h3925,3,9,3,play,1,C4,60,3,3;6,omr_high_confidence,3925
p03-s09-h3963,3,9,4,play,1,H3,59,4,4;7,omr_high_confidence,3963
p03-s09-h3875,3,9,4,play,1,D4,62,1,1;4;7,omr_high_confidence,3875
p03-s09-h3929,3,9,4,play,1,C4,60,3,3;6,omr_high_confidence,3929
p03-s09-h3994,3,9,4,play,1,A3,57,2,2;6,omr_high_confidence,3994
p03-s09-h3969,3,9,5,play,1,H3,59,4,4;7,omr_high_confidence,3969
p03-s09-h3935,3,9,5,play,1,C4,60,3,3;6,omr_high_confidence,3935
p03-s09-h3973,3,9,5,play,1,H3,59,4,4;7,omr_high_confidence,3973
p04-s01-h1733,4,1,1,play,1,H3,59,4,4;7,omr_high_confidence,1733
p04-s01-h1737,4,1,1,play,1,H3,59,4,4;7,omr_high_confidence,1737
p04-s01-h1741,4,1,2,play,1,H3,59,4,4;7,omr_high_confidence,1741
p04-s01-h1745,4,1,2,play,1,H3,59,4,4;7,omr_high_confidence,1745
p04-s01-h1786,4,1,3,play,1,G3,55,4,4,needs_review,1786
p04-s01-h1673,4,1,3,play,1,E4,64,2,2;5;7,omr_high_confidence,1673
p04-s01-h1717,4,1,3,play,1,C4,60,3,3;6,omr_high_confidence,1717
p04-s01-h1698,4,1,4,play,1,D4,62,1,1;4;7,omr_high_confidence,1698
p04-s01-h1677,4,1,4,play,1,E4,64,2,2;5;7,omr_high_confidence,1677
p04-s01-h1723,4,1,4,play,1,C4,60,3,3;6,omr_high_confidence,1723
p04-s01-h1702,4,1,5,play,1,D4,62,1,1;4;7,omr_high_confidence,1702
p04-s01-h1683,4,1,5,play,1,Eb4,63,3,3;6,omr_high_confidence,1683
p04-s01-h1706,4,1,6,play,1,D4,62,1,1;4;7,omr_high_confidence,1706
p04-s01-h1669,4,1,6,play,1,G4,67,2,2;4;6,omr_high_confidence,1669
p04-s01-h1749,4,1,6,play,1,Bb3,58,1,1;5,omr_high_confidence,1749
p04-s01-h1763,4,1,6,play,1,A3,57,2,2;6,omr_high_confidence,1763
p04-s01-h1710,4,1,7,play,1,D4,62,1,1;4;7,omr_high_confidence,1710
p04-s01-h1753,4,1,7,play,1,Bb3,58,1,1;5,omr_high_confidence,1753
p04-s01-h1689,4,1,7,play,1,Eb4,63,3,3;6,omr_high_confidence,1689
p04-s02-h1808,4,2,1,play,1,D4,62,1,1;4;7,omr_high_confidence,1808
p04-s02-h1812,4,2,1,play,1,D4,62,1,1;4;7,omr_high_confidence,1812
p04-s02-h1816,4,2,1,play,1,D4,62,1,1;4;7,omr_high_confidence,1816
p04-s02-h1848,4,2,2,play,1,H3,59,4,4;7,omr_high_confidence,1848
p04-s02-h1852,4,2,2,play,1,H3,59,4,4;7,omr_high_confidence,1852
p04-s02-h1856,4,2,3,play,1,H3,59,4,4;7,omr_high_confidence,1856
p04-s02-h1860,4,2,3,play,1,H3,59,4,4;7,omr_high_confidence,1860
p04-s02-h1864,4,2,4,play,1,H3,59,4,4;7,omr_high_confidence,1864
p04-s02-h1800,4,2,4,play,1,E4,64,2,2;5;7,omr_high_confidence,1800
