id,part,page,system,bar_slot,role,pitch,german_pitch,midi,recommended_slide_position,slide_positions,clef,key_fifths,omr_explicit_alter,status,x,y
p06-s01-h1930,2,6,1,1,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.22578947368421054,0.24966657775406775
p06-s01-h1894,2,6,1,2,play,Bb3,Bb3,58,1,"[1, 5]",ALTO,1,-1,visually_checked,0.2807017543859649,0.2429981328354228
p06-s01-h1926,2,6,1,2,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.31280701754385964,0.24619898639637236
p06-s01-h1932,2,6,1,3,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.3794736842105263,0.24913310216057616
p06-s01-h1934,2,6,1,4,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.43964912280701757,0.24886636436383036
p06-s01-h1935,2,6,1,4,play,Gb3,Gb3,54,5,[5],ALTO,1,-1,visually_checked,0.4691228070175439,0.24886636436383036
p06-s01-h1908,2,6,1,5,play,F3,F3,53,1,"[1, 6]",ALTO,1,0,visually_checked,0.5182456140350877,0.25153374233128833
p06-s01-h1925,2,6,1,5,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.5503508771929825,0.24566551080288077
p06-s01-h1902,2,6,1,6,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.5964912280701754,0.24859962656708456
p06-s01-h1904,2,6,1,7,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.6757894736842105,0.24806615097359297
p06-s01-h1939,2,6,1,7,play,F3,F3,53,1,"[1, 6]",ALTO,1,0,visually_checked,0.7108771929824561,0.25126700453454254
p06-s01-h1914,2,6,1,8,play,Eb3,Eb3,51,3,[3],ALTO,1,-1,visually_checked,0.7575438596491229,0.25500133368898376
p06-s01-h1940,2,6,1,8,play,F3,F3,53,1,"[1, 6]",ALTO,1,0,visually_checked,0.7982456140350878,0.25126700453454254
p06-s01-h1928,2,6,1,9,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.8657894736842106,0.24859962656708456
p06-s02-h2015,2,6,2,1,play,Ab3,Ab3,56,3,"[3, 7]",ALTO,1,-1,visually_checked,0.17210526315789473,0.3163510269405175
p06-s02-h1955,2,6,2,2,play,A3,A3,57,2,"[2, 6]",ALTO,1,,visually_checked,0.21912280701754386,0.315684182448653
p06-s02-h1965,2,6,2,3,play,G3,G3,55,4,[4],ALTO,1,,visually_checked,0.29578947368421055,0.31901840490797545
p06-s02-h2019,2,6,2,3,play,Ab3,Ab3,56,3,"[3, 7]",ALTO,1,-1,visually_checked,0.33228070175438595,0.3158175513470259
p06-s02-h2016,2,6,2,4,play,A3,A3,57,2,"[2, 6]",ALTO,1,0,visually_checked,0.37333333333333335,0.3155508135502801
p06-s02-h2035,2,6,2,4,play,D3,D3,50,4,[4],ALTO,1,,visually_checked,0.40280701754385967,0.3271539077087223
