kind,note_id,movement,page,system,bar,group,onset_ticks,duration_ticks,rest_bars,pitch,midi,tie_to_next,tie_from_previous
note,tb2-p06-s01-n001,1,6,1,1,1,0,16,,G3,55,False,
note,tb2-p06-s01-n002,1,6,1,2,2,16,8,,Bb3,58,False,
note,tb2-p06-s01-n003,1,6,1,2,2,24,8,,A3,57,False,
note,tb2-p06-s01-n004,1,6,1,3,3,32,16,,G3,55,True,
note,tb2-p06-s01-n005,1,6,1,4,4,48,8,,G3,55,False,True
note,tb2-p06-s01-n006,1,6,1,4,4,56,8,,Gb3,54,False,
note,tb2-p06-s01-n007,1,6,1,5,5,64,8,,F3,53,False,
note,tb2-p06-s01-n008,1,6,1,5,5,72,8,,A3,57,False,
note,tb2-p06-s01-n009,1,6,1,6,6,80,8,,G3,55,False,
rest,,1,6,1,6,6,88,8,,,,,
note,tb2-p06-s01-n010,1,6,1,7,7,96,8,,G3,55,False,
note,tb2-p06-s01-n011,1,6,1,7,7,104,8,,F3,53,False,
note,tb2-p06-s01-n012,1,6,1,8,8,112,8,,Eb3,51,False,
note,tb2-p06-s01-n013,1,6,1,8,8,120,8,,F3,53,False,
note,tb2-p06-s01-n014,1,6,1,9,9,128,16,,G3,55,False,
note,tb2-p06-s02-n001,1,6,2,10,1,144,16,,Ab3,56,True,
note,tb2-p06-s02-n002,1,6,2,11,2,160,8,,Ab3,56,False,True
rest,,1,6,2,11,2,168,8,,,,,
note,tb2-p06-s02-n003,1,6,2,12,3,176,8,,G3,55,False,
note,tb2-p06-s02-n004,1,6,2,12,3,184,8,,Ab3,56,False,
note,tb2-p06-s02-n005,1,6,2,13,4,192,8,,A3,57,False,
note,tb2-p06-s02-n006,1,6,2,13,4,200,8,,D3,50,False,
note,tb2-p06-s02-n007,1,6,2,14,5,208,8,,D3,50,False,
note,tb2-p06-s02-n008,1,6,2,14,5,216,8,,Eb3,51,False,
note,tb2-p06-s02-n009,1,6,2,15,6,224,16,,G3,55,True,
note,tb2-p06-s02-n010,1,6,2,16,7,240,8,,G3,55,False,True
note,tb2-p06-s02-n011,1,6,2,16,7,248,8,,F#3,54,False,
note,tb2-p06-s02-n012,1,6,2,17,8,256,16,,G3,55,True,
note,tb2-p06-s02-n013,1,6,2,18,9,272,4,,G3,55,False,True
rest,,1,6,2,18,9,276,4,,,,,
rest,,1,6,2,18,9,280,8,,,,,
rest,,1,6,2,19,10,288,144,9,,,,
rest,,1,6,3,28,1,432,176,11,,,,
rest,,1,6,3,39,2,608,240,15,,,,
rest,,1,6,3,54,3,848,32,2,,,,
rest,,1,6,3,56,4,880,8,,,,,
rest,,1,6,3,56,4,888,4,,,,,
rest,,1,6,3,56,4,892,2,,,,,
note,tb2-p06-s03-n001,1,6,3,56,4,894,2,,D4,62,False,
note,tb2-p06-s03-n002,1,6,3,57,5,896,8,,B3,59,False,
note,tb2-p06-s03-n003,1,6,3,57,5,904,8,,B3,59,False,
note,tb2-p06-s04-n001,1,6,4,58,1,912,2,,D4,62,False,
rest,,1,6,4,58,1,914,2,,,,,
note,tb2-p06-s04-n002,1,6,4,58,1,916,2,,B3,59,False,
rest,,1,6,4,58,1,918,1,,,,,
note,tb2-p06-s04-n003,1,6,4,58,1,919,1,,B3,59,False,
note,tb2-p06-s04-n004,1,6,4,58,1,920,2,,D4,62,False,
rest,,1,6,4,58,1,922,2,,,,,
note,tb2-p06-s04-n005,1,6,4,58,1,924,2,,B3,59,False,
rest,,1,6,4,58,1,926,1,,,,,
note,tb2-p06-s04-n006,1,6,4,58,1,927,1,,B3,59,False,
note,tb2-p06-s04-n007,1,6,4,59,2,928,2,,D4,62,False,
rest,,1,6,4,59,2,930,2,,,,,
note,tb2-p06-s04-n008,1,6,4,59,2,932,2,,B3,59,False,
rest,,1,6,4,59,2,934,2,,,,,
rest,,1,6,4,59,2,936,4,,,,,
note,tb2-p06-s04-n009,1,6,4,59,2,940,2,,B3,59,False,
rest,,1,6,4,59,2,942,2,,,,,
note,tb2-p06-s04-n010,1,6,4,60,3,944,2,,B3,59,False,
rest,,1,6,4,60,3,946,2,,,,,
rest,,1,6,4,60,3,948,4,,,,,
rest,,1,6,4,60,3,952,8,,,,,
rest,,1,6,4,61,4,960,256,16,,,,
rest,,1,6,4,77,5,1216,192,12,,,,
rest,,1,6,4,89,6,1408,32,2,,,,
rest,,1,6,5,91,1,1440,64,4,,,,
note,tb2-p06-s05-n001,1,6,5,95,2,1504,2,,A#3,58,False,
rest,,1,6,5,95,2,1506,2,,,,,
rest,,1,6,5,95,2,1508,4,,,,,
rest,,1,6,5,95,2,1512,8,,,,,
rest,,1,6,5,96,3,1520,16,1,,,,
rest,,1,6,5,97,4,1536,64,4,,,,
note,tb2-p06-s05-n002,1,6,5,101,5,1600,4,,B3,59,False,
rest,,1,6,5,101,5,1604,4,,,,,
note,tb2-p06-s05-n003,1,6,5,101,5,1608,4,,F#3,54,False,
rest,,1,6,5,101,5,1612,4,,,,,
note,tb2-p06-s05-n004,1,6,5,102,6,1616,4,,C#4,61,False,
rest,,1,6,5,102,6,1620,4,,,,,
note,tb2-p06-s05-n005,1,6,5,102,6,1624,4,,G#3,56,False,
rest,,1,6,5,102,6,1628,4,,,,,
